CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	BKID	BKDUR	BKPMIN	LPMM	LPMMV	RPMM	RPMMV	DIAL	DIALV	GSR	GSRV	HR	HRV	HRP	TTL0	TTL1	TTLV	USER
5112	84.20571	10210812140708	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5113	84.22511	10210812334619	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	START_TEXT
5114	84.23792	10210812462850	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5115	84.25444	10210812627989	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5116	84.27061	10210812789666	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5117	84.28669	10210812950465	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5118	84.30597	10210813143272	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5119	84.31935	10210813277135	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5120	84.33891	10210813472726	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5121	84.35279	10210813611517	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5122	84.36744	10210813757957	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5123	84.38387	10210813922347	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5124	84.40232	10210814106828	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5125	84.41615	10210814245100	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5126	84.43274	10210814410997	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5127	84.45492	10210814632776	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5128	84.46641	10210814747646	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5129	84.48172	10210814900749	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5130	84.49694	10210815053002	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5131	84.51308	10210815214326	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.63802	0.80370	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5132	84.52926	10210815376188	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.64219	0.81296	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5133	84.55066	10210815590213	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.64219	0.81296	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5134	84.56176	10210815701185	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.64219	0.81389	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
5135	84.57804	10210815863987	0.00000	0.00000	33.67596	0.06472	11	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.38336	0.13145	9.86747	1.00000	0	0.36810	0.13025	6.67403	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	-0.02704	0.09582	0.79604	0.00000	1	0.64219	0.81389	0	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0	0	0	0	0	1	1	0	0
